step,train/reward_mean,train/reward_std,train/policy_kl,train/gen_length_mean,train/grad_norm,train/loss,train/learning_rate,train/beta_adaptive,train/clipped_ratio_frac,train/advantage_mean,train/advantage_std,train/turns_mean,train/r1_mean,train/r2_mean,train/r3_mean,train/r4_mean,train/r5_mean,train/episode_seconds,train/wall_seconds
0,0.20000000298023224,0.0,0.0,280.0,5882.33642578125,0.0,7.142857142857143e-07,0.0054134113294645085,0.033928571428571426,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,49.02686882019043,49.02687382698059
1,0.20000000298023224,0.0,0.0,279.5,1269.3875732421875,0.0,1.4285714285714286e-06,0.001,0.11270125223613596,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,37.40570330619812,98.56072616577148
2,0.20000000298023224,0.0,1.1782920701163155,448.0,38.5686149597168,0.0011782920701163156,2.1428571428571427e-06,1.0,0.31026785714285715,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,63.30075979232788,161.91117882728577
3,0.23750001192092896,0.03750000149011612,1.4754921197891235,512.0,31346.23046875,1.677345484495163,2.8571428571428573e-06,1.0,0.9892578125,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,69.20640969276428,231.13215231895447
4,0.20000000298023224,0.0,4.89457631111145,512.0,51371.45703125,4.89457631111145,3.5714285714285718e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,67.96740913391113,299.11914110183716
5,0.20000000298023224,0.0,3.3896597623825073,512.0,69720.515625,3.3896597623825073,4.2857142857142855e-06,1.0,0.9990234375,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,67.89135909080505,367.03418016433716
6,0.20000000298023224,0.0,10.67609167098999,512.0,67091.703125,10.67609167098999,5e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,67.92190647125244,435.0143527984619
7,0.23750001192092896,0.03750000149011612,10.465925216674805,512.0,12160.5244140625,10.824388839304447,4.996892303047306e-06,1.0,1.0,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,67.81693744659424,502.85956025123596
8,0.20000000298023224,0.0,10.285913467407227,512.0,13450.130859375,10.285913467407227,4.987576938413504e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,67.85930800437927,570.7588429450989
9,0.20000000298023224,0.0,8.014336585998535,512.0,8066.68896484375,8.014336585998535,4.9720770655628216e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,67.87027668952942,638.6418690681458
10,0.23750001192092896,0.03750000149011612,9.090843200683594,512.0,4585.3173828125,9.46934357099235,4.9504312196213596e-06,1.0,1.0,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,67.39301681518555,706.064480304718
11,0.20000000298023224,0.0,8.56073522567749,512.0,3091.9755859375,8.56073522567749,4.922693215572695e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,68.17335891723633,774.2531700134277
12,0.23750001192092896,0.03750000149011612,8.613637447357178,512.0,1395.09521484375,8.991538718342781,4.8889320144653525e-06,1.0,1.0,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,68.82261824607849,843.3117771148682
13,0.23750001192092896,0.03750000149011612,8.864298343658447,512.0,2105.877197265625,9.242675855755806,4.849231551964771e-06,1.0,1.0,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,68.26428413391113,911.6230788230896
14,0.20000000298023224,0.0,10.072656154632568,512.0,763.4735107421875,10.072656154632568,4.80369052967602e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,68.43093156814575,980.0671932697296
15,0.23750001192092896,0.03750000149011612,10.830252170562744,512.0,1723.3221435546875,11.195448894053698,4.752422169756048e-06,1.0,1.0,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,68.78175520896912,1048.8961944580078
16,0.20000000298023224,0.0,9.4180326461792,512.0,608.9335327148438,9.4180326461792,4.6955539334255714e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,68.2069582939148,1117.1475961208344
17,0.20000000298023224,0.0,8.374014377593994,512.0,373.26312255859375,8.374014377593994,4.633227204080389e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,68.23482394218445,1185.40318775177
18,0.2750000059604645,0.0,7.99251127243042,512.0,805.8142700195312,7.99251127243042,4.565596935789987e-06,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,67.64093565940857,1253.0528256893158
19,0.23750001192092896,0.03750000149011612,8.423498630523682,512.0,1921.517578125,8.669101506471634,4.492831268057307e-06,1.0,1.0,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,67.72044515609741,1320.7870321273804
20,0.23750001192092896,0.03750000149011612,7.399409532546997,512.0,321.9677429199219,7.547017842531204,4.415111107797445e-06,1.0,1.0,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,68.31934118270874,1389.127807855606
21,0.21250000596046448,0.0625,6.916703462600708,512.0,140.5684051513672,7.022552013397217,4.332629679574566e-06,1.0,1.0,0.0,0.9999998807907104,1.0,0.0,0.5,0.25,1.0,0.0,68.34433245658875,1457.485420703888
22,0.20000000298023224,0.0,7.002607345581055,512.0,103.57959747314453,7.002607345581055,4.245592045215182e-06,1.0,0.9990234375,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,68.84935069084167,1526.3606514930725
23,0.23750001192092896,0.03750000149011612,6.881670951843262,512.0,59.95866775512695,6.892779141664505,4.154214593992149e-06,1.0,0.2080078125,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,71.60530638694763,1597.98770737648
24,0.23750001192092896,0.03750000149011612,6.536163330078125,512.0,28.01726722717285,6.537107408046722,4.058724504646834e-06,1.0,0.0537109375,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,69.49759292602539,1667.7407443523407
25,0.20000000298023224,0.0,6.655895233154297,512.0,40.30087661743164,6.655895233154297,3.9593591805869755e-06,1.0,0.0576171875,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,70.63994717597961,1738.3891925811768
26,0.23750001192092896,0.03750000149011612,6.61801815032959,512.0,15.94334602355957,6.619143426418304,3.856365659664399e-06,1.0,0.017578125,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,67.89745688438416,1806.5419189929962
27,0.20000000298023224,0.0,6.692065477371216,512.0,20.050907135009766,6.692065477371216,3.7500000000000005e-06,1.0,0.0146484375,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,68.70751667022705,1875.2623689174652
28,0.23750001192092896,0.03750000149011612,7.070104122161865,512.0,10.77617359161377,7.069182813167572,3.640526643382908e-06,1.0,0.0146484375,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,68.47783255577087,1943.753701210022
29,0.23750001192092896,0.03750000149011612,6.583204507827759,512.0,73.8149642944336,6.579415142536163,3.5282177578265295e-06,1.0,0.0400390625,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,68.50122046470642,2012.2664906978607
30,0.23750001192092896,0.03750000149011612,6.708418607711792,512.0,32.78282165527344,6.709452360868454,3.4133525609159883e-06,1.0,0.013671875,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,68.26667594909668,2080.569811105728
31,0.23750001192092896,0.03750000149011612,6.523660898208618,512.0,11.182178497314453,6.5248496532440186,3.2962166256292116e-06,1.0,0.00390625,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,68.60574960708618,2149.184558391571
32,0.23750001192092896,0.03750000149011612,6.672008752822876,512.0,4.588164329528809,6.673320472240448,3.1771011703575134e-06,1.0,0.001953125,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,68.53554224967957,2217.7360236644745
33,0.20000000298023224,0.0,6.659931421279907,512.0,3.3422446250915527,6.659931421279907,3.056302334890786e-06,1.0,0.0009765625,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,69.76306080818176,2287.573557138443
34,0.20000000298023224,0.0,6.661011457443237,512.0,1.9147412776947021,6.661011457443237,2.9341204441673267e-06,1.0,0.001953125,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,68.45119905471802,2356.0375151634216
35,0.2750000059604645,0.0,6.494702339172363,512.0,3.522749423980713,6.494702339172363,2.8108592616187135e-06,1.0,0.00390625,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,67.99878168106079,2424.0484318733215
36,0.23750001192092896,0.03750000149011612,6.5258753299713135,512.0,3.193479061126709,6.525796324014664,2.686825233966061e-06,1.0,0.0009765625,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,68.41036915779114,2492.467437028885
37,0.23750001192092896,0.03750000149011612,6.832821607589722,512.0,1.1503163576126099,6.832723170518875,2.5623267293451827e-06,1.0,0.001953125,-1.7881393432617188e-07,0.9999997019767761,1.0,0.0,0.5,0.25,1.0,0.0,68.28255128860474,2560.7715106010437
